product_id,product_sku,product_name,slug,product_s_desc,product_desc,product_price,product_currency,product_in_stock,product_weight,published,categories,manufacturer,images,customfields
1,TSHIRT-BLK-S,Classic Cotton T-Shirt,classic-cotton-tshirt,Premium organic cotton t-shirt,"<p>Our classic t-shirt is made from 100% organic cotton, pre-shrunk and enzyme-washed for ultimate softness.</p><ul><li>100% organic cotton</li><li>Pre-shrunk</li><li>Reinforced shoulders</li></ul>",24.99,USD,45,0.180,1,Clothing|T-Shirts,Your Brand,tshirt-black-1.jpg|tshirt-black-2.jpg,color:Black|size:S
2,TSHIRT-BLK-M,Classic Cotton T-Shirt,classic-cotton-tshirt,Premium organic cotton t-shirt,"<p>Our classic t-shirt is made from 100% organic cotton, pre-shrunk and enzyme-washed for ultimate softness.</p><ul><li>100% organic cotton</li><li>Pre-shrunk</li><li>Reinforced shoulders</li></ul>",24.99,USD,62,0.195,1,Clothing|T-Shirts,Your Brand,tshirt-black-1.jpg|tshirt-black-2.jpg,color:Black|size:M
3,TSHIRT-BLK-L,Classic Cotton T-Shirt,classic-cotton-tshirt,Premium organic cotton t-shirt,"<p>Our classic t-shirt is made from 100% organic cotton, pre-shrunk and enzyme-washed for ultimate softness.</p><ul><li>100% organic cotton</li><li>Pre-shrunk</li><li>Reinforced shoulders</li></ul>",24.99,USD,38,0.210,1,Clothing|T-Shirts,Your Brand,tshirt-black-1.jpg|tshirt-black-2.jpg,color:Black|size:L
4,TSHIRT-WHT-M,Classic Cotton T-Shirt,classic-cotton-tshirt,Premium organic cotton t-shirt,"<p>Our classic t-shirt is made from 100% organic cotton, pre-shrunk and enzyme-washed for ultimate softness.</p><ul><li>100% organic cotton</li><li>Pre-shrunk</li><li>Reinforced shoulders</li></ul>",24.99,USD,55,0.195,1,Clothing|T-Shirts,Your Brand,tshirt-white-1.jpg,color:White|size:M
5,HOODIE-GRY-M,Premium Zip Hoodie,premium-zip-hoodie,Cozy fleece-lined zip hoodie,"<p>Stay warm in style with our premium zip hoodie. Features a soft fleece lining and durable YKK zipper.</p>",59.99,USD,28,0.450,1,Clothing|Hoodies,Your Brand,hoodie-gray-1.jpg,color:Gray|size:M|sale_price:74.99
6,HOODIE-GRY-L,Premium Zip Hoodie,premium-zip-hoodie,Cozy fleece-lined zip hoodie,"<p>Stay warm in style with our premium zip hoodie. Features a soft fleece lining and durable YKK zipper.</p>",59.99,USD,22,0.480,1,Clothing|Hoodies,Your Brand,hoodie-gray-1.jpg,color:Gray|size:L|sale_price:74.99
7,HOODIE-NVY-M,Premium Zip Hoodie,premium-zip-hoodie,Cozy fleece-lined zip hoodie,"<p>Stay warm in style with our premium zip hoodie. Features a soft fleece lining and durable YKK zipper.</p>",59.99,USD,31,0.450,1,Clothing|Hoodies,Your Brand,hoodie-navy-1.jpg,color:Navy|size:M|sale_price:74.99
8,MUG-COFFEE-WHT,Ceramic Coffee Mug,ceramic-coffee-mug,Large 15oz ceramic mug,"<p>Start your day right with our oversized ceramic mug. Dishwasher and microwave safe.</p>",12.99,USD,150,0.340,1,Home|Kitchen|Drinkware,Your Brand,mug-white-1.jpg,color:White
9,MUG-COFFEE-BLK,Ceramic Coffee Mug,ceramic-coffee-mug,Large 15oz ceramic mug,"<p>Start your day right with our oversized ceramic mug. Dishwasher and microwave safe.</p>",12.99,USD,120,0.340,1,Home|Kitchen|Drinkware,Your Brand,mug-black-1.jpg,color:Black
10,POSTER-MOUNT,Mountain Landscape Poster,mountain-landscape-poster,High-quality art print 24x36,"<p>Stunning mountain landscape photograph printed on premium archival paper. Frame not included.</p>",29.99,USD,75,0.150,1,Art|Posters,Your Brand,poster-mountain-1.jpg,size:24x36
11,POSTER-OCEAN,Ocean Sunset Poster,ocean-sunset-poster,High-quality art print 24x36,"<p>Breathtaking ocean sunset photograph printed on premium archival paper. Frame not included.</p>",29.99,USD,60,0.150,1,Art|Posters,Your Brand,poster-ocean-1.jpg,size:24x36
12,HEADPHONES-BT,Wireless Bluetooth Headphones,wireless-bluetooth-headphones,Premium over-ear headphones with ANC,"<p>Experience crystal-clear audio with our wireless headphones. Features active noise cancellation, 30-hour battery life, and premium comfort padding.</p>",129.99,USD,42,0.285,1,Electronics|Audio|Headphones,Your Brand,headphones-1.jpg|headphones-2.jpg,color:Black|sale_price:159.99
13,CHARGER-USB-C,USB-C Fast Charger 65W,usb-c-fast-charger-65w,Compact GaN charger with PD,"<p>Ultra-compact 65W GaN charger with Power Delivery. Compatible with laptops, tablets, and phones.</p>",34.99,USD,200,0.120,1,Electronics|Accessories|Chargers,Your Brand,charger-1.jpg,wattage:65W
14,EBOOK-VUE,Vue.js Mastery eBook,vuejs-mastery-ebook,Complete guide to Vue.js 3,"<p>Master Vue.js 3 from beginner to advanced. Covers Composition API, Pinia, Vue Router, and real-world project examples.</p>",29.99,USD,9999,0,1,eBooks|Programming,Your Brand,ebook-vue-cover.jpg,product_type:digital|downloadable:1
15,EBOOK-REACT,React Complete Guide eBook,react-complete-guide-ebook,Master React 18 and Next.js,"<p>Comprehensive React guide covering hooks, state management, testing, and Next.js.</p>",34.99,USD,9999,0,1,eBooks|Programming,Your Brand,ebook-react-cover.jpg,product_type:digital|downloadable:1
16,BACKPACK-TRAVEL,Travel Backpack 40L,travel-backpack-40l,Carry-on compliant travel backpack,"<p>Perfect for digital nomads. TSA-friendly laptop compartment, water-resistant fabric, and comfortable padded straps.</p>",89.99,USD,35,1.200,1,Bags|Travel|Backpacks,Your Brand,backpack-1.jpg|backpack-2.jpg,color:Black
17,WALLET-LEATHER-BRN,Minimalist Leather Wallet,minimalist-leather-wallet,Slim RFID-blocking wallet,"<p>Handcrafted from genuine full-grain leather. Features RFID blocking and holds up to 8 cards plus cash.</p>",44.99,USD,65,0.080,1,Accessories|Wallets,Your Brand,wallet-brown-1.jpg,color:Brown
18,WALLET-LEATHER-BLK,Minimalist Leather Wallet,minimalist-leather-wallet,Slim RFID-blocking wallet,"<p>Handcrafted from genuine full-grain leather. Features RFID blocking and holds up to 8 cards plus cash.</p>",44.99,USD,48,0.080,1,Accessories|Wallets,Your Brand,wallet-black-1.jpg,color:Black
19,CANDLE-LAVENDER,Lavender Soy Candle,lavender-soy-candle,Hand-poured natural soy candle,"<p>Relaxing lavender scent made with 100% natural soy wax and essential oils. 50+ hour burn time.</p>",24.99,USD,80,0.350,1,Home|Candles,Your Brand,candle-lavender-1.jpg,scent:Lavender
20,YOGA-MAT,Premium Yoga Mat,premium-yoga-mat,Extra thick eco-friendly mat,"<p>6mm thick eco-friendly yoga mat with non-slip surface. Perfect for all types of yoga and floor exercises.</p>",39.99,USD,45,1.500,1,Sports|Yoga,Your Brand,yoga-mat-1.jpg,color:Purple|thickness:6mm
